#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  RC4(16, 16).in|  2.60e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.31234012|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.44414004|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.85614174|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.20548964|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.79233105|  PASSED  
        diehard_opso|   0|   2097152|     100|0.62989215|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.18729721|  PASSED  
         diehard_dna|   0|   2097152|     100|0.91143884|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.47069854|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.88223298|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.04243634|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.69999919|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.56456417|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.79419708|  PASSED  
        diehard_sums|   0|       100|     100|0.01199727|  PASSED  
        diehard_runs|   0|    100000|     100|0.73799674|  PASSED  
        diehard_runs|   0|    100000|     100|0.62052687|  PASSED  
       diehard_craps|   0|    200000|     100|0.99175361|  PASSED  
       diehard_craps|   0|    200000|     100|0.42253460|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000419|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.00000000|  FAILED  
            sts_runs|   2|    100000|     100|0.05699149|  PASSED  
          sts_serial|   1|    100000|     100|0.00000007|  FAILED  
          sts_serial|   2|    100000|     100|0.00871847|  PASSED  
          sts_serial|   3|    100000|     100|0.08406177|  PASSED  
          sts_serial|   3|    100000|     100|0.95756625|  PASSED  
          sts_serial|   4|    100000|     100|0.05695648|  PASSED  
          sts_serial|   4|    100000|     100|0.91497325|  PASSED  
          sts_serial|   5|    100000|     100|0.00516427|  PASSED  
          sts_serial|   5|    100000|     100|0.00686603|  PASSED  
          sts_serial|   6|    100000|     100|0.00126111|   WEAK   
          sts_serial|   6|    100000|     100|0.55015237|  PASSED  
          sts_serial|   7|    100000|     100|0.05733285|  PASSED  
          sts_serial|   7|    100000|     100|0.87255117|  PASSED  
          sts_serial|   8|    100000|     100|0.00446371|   WEAK   
          sts_serial|   8|    100000|     100|0.79815477|  PASSED  
          sts_serial|   9|    100000|     100|0.46302421|  PASSED  
          sts_serial|   9|    100000|     100|0.78556875|  PASSED  
          sts_serial|  10|    100000|     100|0.10987629|  PASSED  
          sts_serial|  10|    100000|     100|0.10979157|  PASSED  
          sts_serial|  11|    100000|     100|0.29671034|  PASSED  
