#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                RC4(256, 256).in|  2.52e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.08985064|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.96893746|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.02699232|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.30648120|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.54950889|  PASSED  
        diehard_opso|   0|   2097152|     100|0.47189226|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.21392689|  PASSED  
         diehard_dna|   0|   2097152|     100|0.39030024|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.32206708|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.99715115|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.07228155|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.73235744|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.76077705|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.74812755|  PASSED  
        diehard_sums|   0|       100|     100|0.02248573|  PASSED  
        diehard_runs|   0|    100000|     100|0.68421740|  PASSED  
        diehard_runs|   0|    100000|     100|0.08935390|  PASSED  
       diehard_craps|   0|    200000|     100|0.14840876|  PASSED  
       diehard_craps|   0|    200000|     100|0.88709714|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00002065|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.18377682|  PASSED  
         sts_monobit|   1|    100000|     100|0.28525419|  PASSED  
            sts_runs|   2|    100000|     100|0.42580881|  PASSED  
          sts_serial|   1|    100000|     100|0.86007603|  PASSED  
          sts_serial|   2|    100000|     100|0.73147392|  PASSED  
          sts_serial|   3|    100000|     100|0.46106847|  PASSED  
          sts_serial|   3|    100000|     100|0.09634833|  PASSED  
          sts_serial|   4|    100000|     100|0.97305250|  PASSED  
          sts_serial|   4|    100000|     100|0.18500298|  PASSED  
          sts_serial|   5|    100000|     100|0.87643678|  PASSED  
          sts_serial|   5|    100000|     100|0.51222564|  PASSED  
