#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  RC4(64, 64).in|  3.61e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93066253|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.03179249|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.80378950|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.58430948|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.86185669|  PASSED  
        diehard_opso|   0|   2097152|     100|0.63874627|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.89161335|  PASSED  
         diehard_dna|   0|   2097152|     100|0.30673182|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.68109551|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.63150372|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.51474850|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.67309640|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.81158766|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.07961611|  PASSED  
        diehard_sums|   0|       100|     100|0.06176654|  PASSED  
        diehard_runs|   0|    100000|     100|0.82265938|  PASSED  
        diehard_runs|   0|    100000|     100|0.60347394|  PASSED  
       diehard_craps|   0|    200000|     100|0.45804911|  PASSED  
       diehard_craps|   0|    200000|     100|0.91171219|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.03196901|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.10809745|  PASSED  
         sts_monobit|   1|    100000|     100|0.40983642|  PASSED  
            sts_runs|   2|    100000|     100|0.81896325|  PASSED  
          sts_serial|   1|    100000|     100|0.80610221|  PASSED  
          sts_serial|   2|    100000|     100|0.68681551|  PASSED  
          sts_serial|   3|    100000|     100|0.66113302|  PASSED  
          sts_serial|   3|    100000|     100|0.21606106|  PASSED  
          sts_serial|   4|    100000|     100|0.91305699|  PASSED  
          sts_serial|   4|    100000|     100|0.84135987|  PASSED  
          sts_serial|   5|    100000|     100|0.35022960|  PASSED  
          sts_serial|   5|    100000|     100|0.22456802|  PASSED  
          sts_serial|   6|    100000|     100|0.30666358|  PASSED  
          sts_serial|   6|    100000|     100|0.56475960|  PASSED  
          sts_serial|   7|    100000|     100|0.66126174|  PASSED  
          sts_serial|   7|    100000|     100|0.99870645|   WEAK   
          sts_serial|   8|    100000|     100|0.76221802|  PASSED  
          sts_serial|   8|    100000|     100|0.18930112|  PASSED  
          sts_serial|   9|    100000|     100|0.28341354|  PASSED  
          sts_serial|   9|    100000|     100|0.89786316|  PASSED  
          sts_serial|  10|    100000|     100|0.87026354|  PASSED  
          sts_serial|  10|    100000|     100|0.57480971|  PASSED  
          sts_serial|  11|    100000|     100|0.86361433|  PASSED  
          sts_serial|  11|    100000|     100|0.88768179|  PASSED  
          sts_serial|  12|    100000|     100|0.68117866|  PASSED  
          sts_serial|  12|    100000|     100|0.68145575|  PASSED  
          sts_serial|  13|    100000|     100|0.71490025|  PASSED  
          sts_serial|  13|    100000|     100|0.07172757|  PASSED  
          sts_serial|  14|    100000|     100|0.86111408|  PASSED  
          sts_serial|  14|    100000|     100|0.98587292|  PASSED  
          sts_serial|  15|    100000|     100|0.46222335|  PASSED  
          sts_serial|  15|    100000|     100|0.71642126|  PASSED  
          sts_serial|  16|    100000|     100|0.92465235|  PASSED  
          sts_serial|  16|    100000|     100|0.98710842|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.39850038|  PASSED  
